Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
SrVO3_none             1.580   0.720   2.000   4.000   0.950   1.630   4.240   2.920   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
SrVO3_none             1.580   0.720   2.000   4.000   0.950   1.630   4.240   2.920   
SrVO3_none             1.580   0.720   2.000   4.000   0.950   1.630   4.240   2.920   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
SrVO3_none             1.580   0.720   2.000   4.000   0.950   1.630   4.240   2.920   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
